step,time_s,cmd_vx,cmd_vy,cmd_wz,act_vx,act_vy,act_vz,act_wx,act_wy,act_wz,pos_x,pos_y,pos_z,pitch_rad,roll_rad,action_0,action_1,action_2,action_3,lqr_left,lqr_right,ref_x,ref_y
66,2.6400,0.3806,0.0000,0.4999,0.3491,-0.0043,0.0411,0.0049,-0.0177,0.5021,0.1741,0.2309,0.2233,0.01029,-0.01051,-0.0278,-0.1351,-0.1324,-0.0036,-0.00457,0.00287,0.3914,0.7557
67,2.6800,0.3855,0.0000,0.4999,0.3573,0.0007,0.0425,-0.0168,-0.0366,0.4604,0.1873,0.2358,0.2233,0.00856,-0.01048,-0.0068,-0.1453,-0.1031,0.0237,-0.00338,0.00180,0.3972,0.7661
68,2.7200,0.3904,0.0000,0.4999,0.3720,-0.0103,0.0486,0.0388,-0.2017,0.4008,0.2008,0.2411,0.2236,0.00383,-0.01011,-0.0131,-0.1293,-0.1232,0.0476,-0.00475,0.00200,0.4030,0.7763
69,2.7600,0.3952,0.0000,0.4999,0.3555,-0.0011,0.0500,-0.0049,0.2686,0.4149,0.2144,0.2464,0.2241,0.00680,-0.00833,-0.0088,-0.1507,-0.1249,-0.0455,-0.00091,0.00646,0.4088,0.7866
70,2.8000,0.3998,0.0000,0.4999,0.3641,-0.0059,0.0309,0.0124,0.2064,0.4685,0.2277,0.2523,0.2240,0.01656,-0.00853,-0.0537,-0.1479,-0.1342,0.0339,-0.00533,0.00403,0.4145,0.7968
71,2.8400,0.4043,0.0000,0.4999,0.3899,-0.0040,0.0353,0.0037,-0.1453,0.4505,0.2415,0.2585,0.2234,0.01579,-0.00777,-0.0163,-0.1451,-0.1105,0.0167,-0.01051,-0.00027,0.4203,0.8069
72,2.8800,0.4087,0.0000,0.5000,0.3845,0.0147,0.0547,-0.0840,0.1508,0.3782,0.2553,0.2655,0.2236,0.01663,-0.00891,-0.0147,-0.1659,-0.1133,-0.0311,-0.00630,0.00122,0.4261,0.8170
73,2.9200,0.4128,0.0000,0.5000,0.4092,0.0001,0.0371,-0.0191,-0.1999,0.5122,0.2692,0.2731,0.2238,0.01506,-0.01176,-0.0275,-0.1375,-0.1115,0.0333,-0.00882,0.00020,0.4318,0.8270
74,2.9600,0.4168,0.0000,0.5000,0.4246,-0.0066,0.0278,0.0208,-0.3630,0.4036,0.2839,0.2807,0.2232,0.00284,-0.01074,0.0167,-0.1095,-0.0917,0.0173,-0.00607,0.00134,0.4375,0.8370
75,3.0000,0.4207,0.0000,0.5000,0.4142,-0.0055,0.0617,0.0155,-0.0481,0.4320,0.2985,0.2884,0.2237,-0.00340,-0.00945,-0.0028,-0.1430,-0.1560,0.0027,0.00160,0.00661,0.4433,0.8470
76,3.0400,0.4242,0.0000,0.5000,0.4143,-0.0033,0.0326,0.0046,0.0295,0.3991,0.3130,0.2966,0.2242,-0.00376,-0.00908,-0.0331,-0.1420,-0.1108,-0.0100,0.00128,0.00558,0.4490,0.8568
77,3.0800,0.4273,0.0000,0.5000,0.4127,-0.0008,0.0300,-0.0091,0.1257,0.4370,0.3272,0.3051,0.2239,-0.00036,-0.00907,-0.0274,-0.1550,-0.1216,0.0276,0.00041,0.00321,0.4547,0.8667
78,3.1200,0.4300,0.0000,0.5000,0.4234,0.0056,0.0157,-0.0226,0.0020,0.3907,0.3413,0.3141,0.2233,0.00166,-0.01029,-0.0133,-0.1129,-0.0681,0.0034,-0.00316,0.00078,0.4604,0.8764
79,3.1600,0.4324,0.0000,0.5000,0.4274,-0.0152,0.0248,0.0617,0.0197,0.4672,0.3557,0.3231,0.2225,0.00305,-0.00926,-0.0349,-0.1082,-0.1250,0.0287,-0.00366,0.00333,0.4662,0.8861
80,3.2000,0.4345,0.0000,0.5000,0.4385,0.0029,0.0485,-0.0219,-0.0723,0.3377,0.3702,0.3325,0.2225,0.00049,-0.00801,0.0112,-0.1240,-0.0683,0.0173,-0.00261,0.00227,0.4719,0.8958
81,3.2400,0.4364,0.0000,0.5000,0.4348,-0.0012,0.0392,-0.0050,0.0911,0.4208,0.3845,0.3425,0.2229,0.00241,-0.00860,-0.0342,-0.1230,-0.1140,-0.0134,-0.00221,0.00346,0.4775,0.9054
82,3.2800,0.4380,0.0000,0.5000,0.4438,-0.0119,0.0289,0.0457,0.0082,0.5050,0.3989,0.3526,0.2226,0.00389,-0.00721,-0.0305,-0.1204,-0.1022,0.0400,-0.00473,0.00299,0.4832,0.9149
83,3.3200,0.4395,0.0000,0.5000,0.4590,-0.0140,0.0496,0.0579,-0.1826,0.4312,0.4136,0.3630,0.2226,-0.00029,-0.00429,-0.0195,-0.1259,-0.1230,0.0524,-0.00562,0.00150,0.4889,0.9244
84,3.3600,0.4407,0.0000,0.4971,0.4558,0.0079,0.0419,-0.0483,-0.0231,0.4773,0.4281,0.3741,0.2232,-0.00434,-0.00349,-0.0157,-0.1365,-0.0972,-0.0564,-0.00100,0.00197,0.4946,0.9338
85,3.4000,0.4418,0.0000,0.4914,0.4536,0.0188,0.0334,-0.1007,0.0680,0.3778,0.4417,0.3860,0.2231,-0.00276,-0.00775,0.0058,-0.1192,-0.0985,0.0508,-0.00148,0.00254,0.5002,0.9432
86,3.4400,0.4428,0.0000,0.4833,0.4610,0.0053,0.0294,-0.0355,0.0176,0.3444,0.4554,0.3982,0.2229,-0.00079,-0.01132,-0.0091,-0.1129,-0.0970,0.0094,-0.00383,0.00224,0.5059,0.9525
87,3.4800,0.4437,0.0000,0.4736,0.4685,-0.0169,0.0374,0.0716,-0.0336,0.4627,0.4696,0.4101,0.2228,-0.00131,-0.00981,-0.0281,-0.1272,-0.1116,0.0318,-0.00542,0.00316,0.5115,0.9617
88,3.5200,0.4444,0.0000,0.4620,0.4613,0.0173,0.0547,-0.0894,0.2112,0.2296,0.4836,0.4225,0.2231,0.00216,-0.00952,0.0319,-0.1366,-0.0671,-0.0055,-0.00338,0.00112,0.5172,0.9709
89,3.5600,0.4451,0.0000,0.4492,0.4742,0.0020,0.0315,-0.0204,0.0338,0.3489,0.4970,0.4357,0.2234,0.00786,-0.01357,-0.0298,-0.1135,-0.1089,0.0195,-0.00864,-0.00090,0.5228,0.9800
