step,time_s,cmd_vx,cmd_vy,cmd_wz,act_vx,act_vy,act_vz,act_wx,act_wy,act_wz,pos_x,pos_y,pos_z,pitch_rad,roll_rad,action_0,action_1,action_2,action_3,lqr_left,lqr_right,ref_x,ref_y
95,3.8000,0.3186,0.0000,-0.0823,0.4849,0.0018,0.0098,-0.0112,-0.0044,-0.0987,0.3954,1.1234,0.2233,-0.05117,-0.02258,0.0306,-0.0961,-0.0991,0.0074,0.00000,0.00000,0.5564,1.0334
96,3.8400,0.3126,0.0000,-0.0835,0.4823,-0.0003,0.0118,-0.0003,-0.0221,-0.1016,0.4060,1.1394,0.2232,-0.05186,-0.02228,0.0370,-0.0941,-0.0948,0.0186,0.00000,0.00000,0.5619,1.0420
97,3.8800,0.3066,0.0000,-0.0846,0.4765,-0.0001,0.0152,-0.0016,0.0152,-0.0854,0.4166,1.1553,0.2233,-0.05180,-0.02165,0.0361,-0.0970,-0.1018,0.0109,0.00000,0.00000,0.5675,1.0506
98,3.9200,0.3007,0.0000,-0.0857,0.4734,0.0015,0.0124,-0.0096,-0.0060,-0.0914,0.4272,1.1710,0.2233,-0.05168,-0.02159,0.0367,-0.0955,-0.0990,0.0132,0.00000,0.00000,0.5731,1.0592
99,3.9600,0.2948,0.0000,-0.0868,0.4700,0.0013,0.0099,-0.0088,-0.0207,-0.1005,0.4377,1.1866,0.2232,-0.05223,-0.02165,0.0369,-0.0920,-0.0986,0.0117,0.00000,0.00000,0.5786,1.0676
100,4.0000,0.2890,0.0000,-0.0878,0.4658,0.0014,0.0122,-0.0095,-0.0176,-0.1004,0.4481,1.2020,0.2232,-0.05296,-0.02169,0.0384,-0.0936,-0.1002,0.0122,0.00000,0.00000,0.5841,1.0760
101,4.0400,0.2831,0.0000,-0.0889,0.4613,0.0022,0.0148,-0.0138,-0.0152,-0.1178,0.4585,1.2173,0.2232,-0.05358,-0.02185,0.0397,-0.0953,-0.1028,0.0108,0.00000,0.00000,0.5896,1.0844
102,4.0800,0.2774,0.0000,-0.0898,0.4566,0.0013,0.0135,-0.0091,-0.0110,-0.1044,0.4688,1.2324,0.2233,-0.05415,-0.02200,0.0365,-0.0971,-0.0982,0.0112,0.00000,0.00000,0.5952,1.0926
103,4.1200,0.2716,0.0000,-0.0907,0.4515,0.0019,0.0104,-0.0122,-0.0087,-0.1210,0.4792,1.2472,0.2232,-0.05447,-0.02200,0.0384,-0.0933,-0.1000,0.0090,0.00000,0.00000,0.6007,1.1008
104,4.1600,0.2659,0.0000,-0.0916,0.4474,0.0020,0.0136,-0.0129,-0.0195,-0.1172,0.4894,1.2619,0.2232,-0.05509,-0.02226,0.0391,-0.0969,-0.1005,0.0148,0.00000,0.00000,0.6062,1.1089
105,4.2000,0.2603,0.0000,-0.0924,0.4426,0.0008,0.0116,-0.0066,-0.0201,-0.1218,0.4996,1.2763,0.2232,-0.05584,-0.02218,0.0375,-0.0929,-0.0985,0.0084,0.00000,0.00000,0.6116,1.1170
