step,time_s,cmd_vx,cmd_vy,cmd_wz,act_vx,act_vy,act_vz,act_wx,act_wy,act_wz,pos_x,pos_y,pos_z,pitch_rad,roll_rad,action_0,action_1,action_2,action_3,lqr_left,lqr_right
89,3.5600,0.5370,0.0000,0.0102,0.3976,0.0039,0.0352,-0.0209,-0.0458,-0.0013,-28.5784,-74.9295,0.6865,0.01318,-3.11351,-0.0057,-0.1205,-0.0537,0.0013,-0.00865,0.00038
90,3.6000,0.5370,0.0000,0.0102,0.3979,-0.0130,0.0331,0.0621,-0.0406,0.0169,-28.5885,-74.9172,0.6863,0.01210,-3.11475,-0.0178,-0.1284,-0.0918,0.0046,-0.00712,0.00124
91,3.6400,0.5370,0.0000,0.0102,0.4081,-0.0543,-0.0033,0.2620,-0.0686,0.1331,-28.5977,-74.9040,0.6854,0.00994,-3.12524,-0.0342,-0.1312,-0.0881,-0.0138,-0.00517,0.00211
92,3.6800,0.5370,0.0000,0.0102,0.4181,-0.0740,-0.0431,0.3640,0.0893,0.2137,-28.6063,-74.8896,0.6828,0.00997,3.13771,-0.0040,-0.1556,-0.0603,-0.0339,0.00028,0.00160
93,3.7200,0.5370,0.0000,0.0102,0.4473,-0.1026,-0.1100,0.5197,-0.0256,0.0679,-28.6149,-74.8741,0.6780,0.00975,3.11163,0.0392,-0.1487,-0.0390,-0.0381,0.00316,-0.00557
94,3.7600,0.5370,0.0000,0.0102,0.4788,-0.1151,-0.1863,0.5738,0.0302,0.1232,-28.6240,-74.8573,0.6708,0.00735,3.08061,0.1254,-0.2843,0.0271,-0.2022,0.01355,-0.01421
95,3.8000,0.5370,0.0000,0.0102,0.5199,-0.1298,-0.2670,0.5901,-0.5676,0.1367,-28.6332,-74.8390,0.6590,-0.00182,3.04067,0.3648,-0.4592,0.0745,-0.2387,0.02145,-0.02353
96,3.8400,0.5370,0.0000,0.0102,0.5067,-0.1446,-0.0448,0.7300,-0.6027,0.1162,-28.6421,-74.8207,0.6516,-0.02161,2.99906,-0.0985,-0.1189,-0.0812,0.0475,0.03327,-0.02239
97,3.8800,0.5370,0.0000,0.0102,0.4847,-0.0413,0.1166,0.2112,-0.2123,-0.1340,-28.6517,-74.8029,0.6527,-0.03805,2.96882,0.1085,-0.2089,-0.0399,-0.2186,0.04368,-0.02403
98,3.9200,0.5370,0.0000,0.0102,0.4366,0.0361,0.0226,-0.1751,0.4809,-0.1441,-28.6636,-74.7889,0.6549,-0.02819,2.96726,0.0263,-0.1829,-0.0157,-0.1687,0.05098,-0.02220
