step,time_s,cmd_vx,cmd_vy,cmd_wz,act_vx,act_vy,act_vz,act_wx,act_wy,act_wz,pos_x,pos_y,pos_z,pitch_rad,roll_rad,action_0,action_1,action_2,action_3,lqr_left,lqr_right
96,3.8400,0.7229,0.0000,-0.1093,0.7567,-0.0006,-0.0337,0.0025,-0.2634,-0.0839,-25.0232,-75.2744,0.2881,-0.04621,-0.00968,-0.0020,-0.0766,-0.0421,0.0171,0.00402,0.01518
97,3.8800,0.7229,0.0000,-0.1093,0.7552,0.0546,-0.1112,-0.3148,-0.1409,-0.1943,-24.9933,-75.2781,0.2857,-0.05328,-0.01375,-0.0323,-0.0579,-0.1770,0.1176,0.01120,0.01984
98,3.9200,0.7229,0.0000,-0.1093,0.7336,0.1701,-0.3389,-0.9057,-0.1148,-0.0968,-24.9631,-75.2784,0.2773,-0.05626,-0.03624,-0.0808,0.0632,-0.4007,0.3805,0.00640,0.02725
99,3.9600,0.7229,0.0000,-0.1093,0.7062,0.0121,-0.4357,-0.0716,0.0823,-0.1519,-24.9336,-75.2780,0.2599,-0.05090,-0.05903,0.0345,0.3150,-0.5579,0.6109,-0.00682,0.03838
100,4.0000,0.7229,0.0000,-0.1093,0.7461,-0.1269,-0.4149,0.6049,-0.0862,-0.3768,-24.9040,-75.2864,0.2437,-0.06140,-0.04769,0.0454,-0.2765,-0.0994,-0.1586,-0.00922,0.03712
101,4.0400,0.7229,0.0000,-0.1093,0.7631,-0.1018,-0.2528,0.4917,-0.4322,0.1550,-24.8750,-75.2996,0.2283,-0.07092,-0.01483,0.3668,-0.4907,-0.0092,-0.0368,0.00140,0.02645
102,4.0800,0.7229,0.0000,-0.1093,0.7122,0.0288,0.0033,-0.1416,0.3080,-0.1645,-24.8465,-75.3056,0.2254,-0.06516,-0.01141,-0.1013,-0.1109,-0.0998,0.0123,0.01563,0.02308
103,4.1200,0.7229,0.0000,-0.1093,0.7053,0.0077,-0.0197,-0.0411,0.3345,-0.1726,-24.8182,-75.3099,0.2255,-0.05144,-0.01543,-0.0130,-0.0968,-0.0650,0.0056,0.00892,0.01993
104,4.1600,0.7229,0.0000,-0.1093,0.7022,-0.0134,-0.0266,0.0663,0.2924,-0.1297,-24.7904,-75.3157,0.2241,-0.03965,-0.01387,-0.0057,-0.1109,-0.0822,0.0560,0.00444,0.01588
105,4.2000,0.7229,0.0000,-0.1093,0.7092,-0.0007,0.0047,0.0036,0.1416,-0.2103,-24.7626,-75.3216,0.2232,-0.03222,-0.01233,0.0017,-0.1123,-0.0584,0.0419,0.00050,0.00837
106,4.2400,0.7229,0.0000,-0.1093,0.7075,-0.0035,0.0249,0.0164,0.1841,-0.1197,-24.7348,-75.3274,0.2233,-0.02531,-0.01184,-0.0131,-0.1245,-0.0951,0.0225,-0.00220,0.00625
107,4.2800,0.7229,0.0000,-0.1093,0.7106,-0.0178,0.0259,0.0880,0.1583,-0.0372,-24.7071,-75.3338,0.2234,-0.01864,-0.00941,-0.0203,-0.1176,-0.0964,0.0637,-0.00468,0.00327
108,4.3200,0.7229,0.0000,-0.1093,0.7146,0.0051,0.0373,-0.0264,0.1317,-0.0569,-24.6791,-75.3401,0.2236,-0.01364,-0.00790,0.0215,-0.1290,-0.0803,0.0241,-0.00541,-0.00146
109,4.3600,0.7229,0.0000,-0.1093,0.7187,0.0071,0.0152,-0.0354,0.1157,-0.1445,-24.6510,-75.3458,0.2235,-0.00853,-0.00948,-0.0092,-0.0972,-0.0711,0.0375,-0.00550,-0.00231
110,4.4000,0.7229,0.0000,-0.1093,0.7417,0.0071,0.0237,-0.0351,-0.2457,-0.1550,-24.6225,-75.3518,0.2230,-0.01271,-0.01114,0.0407,-0.0937,-0.0715,0.0679,-0.00890,-0.00411
111,4.4400,0.7229,0.0000,-0.1093,0.7345,-0.0053,0.0413,0.0261,-0.0074,-0.0898,-24.5939,-75.3583,0.2234,-0.01668,-0.01070,0.0035,-0.1201,-0.1167,0.0147,-0.00380,0.00294
112,4.4800,0.7229,0.0000,-0.1093,0.7371,0.0004,0.0137,-0.0038,-0.0305,-0.0495,-24.5653,-75.3651,0.2235,-0.01810,-0.01013,0.0046,-0.1028,-0.0601,0.0162,-0.00252,0.00387
113,4.5200,0.7229,0.0000,-0.1093,0.7418,0.0033,0.0256,-0.0144,-0.0900,-0.2079,-24.5366,-75.3717,0.2232,-0.02037,-0.01045,0.0411,-0.0865,-0.0909,0.1036,-0.00387,0.00519
